module,batch_size,shape,ratio_mcu_over_crypten,ratio_mcu_over_plain,ratio_crypten_over_plain,mcu_docker_median_s,crypten_docker_median_s,torch_plain_median_s,mcu_critical_role,mcu_critical_comm_s,mcu_critical_local_s,mcu_critical_protocol_s,mcu_critical_write_s
elemul,1,[64],7.603021,189.988765,24.988588,0.058170000,0.007650906,0.000306176,p0,0.051061286,0.007108376,0.051071606,0.007098056
matmul,1,"[4,16]x[16,16]",6.314807,119.677225,18.951843,0.053644000,0.008494955,0.000448239,p0,0.046743986,0.006899792,0.046785698,0.006858080
exp,1,[64],10.164057,674.131014,66.324992,0.242913000,0.023899216,0.000360335,p0,0.239836142,0.003076775,0.242136787,0.000776130
sigmoid,1,[64],2.827431,698.632232,247.090807,0.260499000,0.092132749,0.000372870,p1,0.257099696,0.003399798,0.259516679,0.000982815
gelu,1,[64],2.883216,604.023135,209.496338,0.281508000,0.097636815,0.000466055,p0,0.278189034,0.003318650,0.280449131,0.001058553
softmax,1,"[16,4]",0.733857,477.526762,650.707967,0.242320000,0.330200456,0.000507448,p1,0.239506423,0.002814061,0.241676636,0.000643848
elemul,2,[128],6.657055,136.915818,20.567025,0.051890000,0.007794738,0.000378992,p0,0.045685842,0.006203774,0.045702525,0.006187091
matmul,2,"[8,16]x[16,16]",7.454523,133.756077,17.942942,0.053345000,0.007156058,0.000398823,p0,0.046659098,0.006685772,0.046700200,0.006644670
exp,2,[128],18.500848,1398.757320,75.605040,0.456090000,0.024652384,0.000326068,p0,0.450656728,0.005433532,0.455283651,0.000806609
sigmoid,2,[128],4.869952,1528.806111,313.926312,0.473219000,0.097171181,0.000309535,p0,0.468197823,0.005021572,0.472475432,0.000743963
gelu,2,[128],4.596412,1241.374627,270.074732,0.521247000,0.113403030,0.000419895,p0,0.515789465,0.005457417,0.520520731,0.000726151
softmax,2,"[32,4]",1.320648,1078.922996,816.964566,0.453043000,0.343045870,0.000419903,p0,0.447806515,0.005236681,0.452324633,0.000718563
elemul,4,[256],8.067688,158.967864,19.704264,0.061632000,0.007639363,0.000387701,p1,0.050869119,0.010762910,0.050911264,0.010720765
matmul,4,"[16,16]x[16,16]",6.784794,144.301143,21.268316,0.053392000,0.007869362,0.000370004,p0,0.047012753,0.006379482,0.047102640,0.006289595
exp,4,[256],31.854599,2736.272234,85.898813,0.803624000,0.025227880,0.000293693,p0,0.794190757,0.009433280,0.802865861,0.000758176
sigmoid,4,[256],8.737824,2947.912675,337.373757,0.824428000,0.094351632,0.000279665,p0,0.815461995,0.008965615,0.823738050,0.000689560
gelu,4,[256],9.205695,2515.429911,273.247162,0.906571000,0.098479370,0.000360404,p1,0.896796132,0.009774554,0.905905957,0.000664729
softmax,4,"[64,4]",2.516731,1604.409145,637.497280,0.820190000,0.325894985,0.000511210,p0,0.810714339,0.009475262,0.819440193,0.000749408
