module,batch_size,shape,measurement_kind,mcu_docker_median_s,crypten_docker_median_s,torch_plain_median_s,ratio_mcu_over_crypten,ratio_mcu_over_plain,ratio_crypten_over_plain,mcu_critical_role,mcu_p0_elapsed_s,mcu_p1_elapsed_s,mcu_hp_elapsed_s,mcu_critical_comm_s,mcu_critical_local_s,mcu_critical_protocol_s,mcu_critical_write_s,mcu_p0_comm_s,mcu_p1_comm_s,mcu_hp_comm_s,mcu_p0_local_s,mcu_p1_local_s,mcu_hp_local_s,mcu_p0_protocol_s,mcu_p1_protocol_s,mcu_p0_write_s,mcu_p1_write_s,mcu_p0_send_msgs,mcu_p0_recv_msgs,mcu_p1_send_msgs,mcu_p1_recv_msgs,mcu_hp_send_msgs,mcu_hp_recv_msgs,mcu_p0_send_bytes,mcu_p0_recv_bytes,mcu_p1_send_bytes,mcu_p1_recv_bytes,mcu_hp_send_bytes,mcu_hp_recv_bytes,crypten_rank0_median_s,crypten_rank1_median_s,mcu_times_s,crypten_times_s,plain_times_s,verify
elemul,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.053768000,0.007040440,0.000283030,7.637023,189.972794,24.875243,p0,0.053768000,0.009110000,0.000353000,0.048529341,0.005238484,0.048539723,0.005228102,0.048529341,0.000443436,0.000336224,0.005238484,0.008666734,0.000017115,0.048539723,0.000453867,0.005228102,0.008656303,1,1,1,1,2,2,1042,521,1042,521,1042,2084,0.007040440,0.006928288,0.049170000;0.053768000;0.073335000,0.008699866;0.006513397;0.007040440,0.000283030;0.000276978;0.000358670,[verify] elemul ok: 64/64
matmul,1,"[4,16]x[16,16]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.064854000,0.007589385,0.000365314,8.545356,177.529469,20.774964,p0,0.064854000,0.033142000,0.000349000,0.037376641,0.027477704,0.037414414,0.027439931,0.037376641,0.000672674,0.000338341,0.027477704,0.032469643,0.000010591,0.037414414,0.000705269,0.027439931,0.032437048,1,1,1,1,2,2,2578,521,2578,521,1042,5156,0.007589385,0.007529627,0.066225000;0.064854000;0.052107000,0.007458211;0.007589385;0.008542748,0.000365314;0.000307157;0.000369231,[verify] matmul ok: 64/64
exp,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.100854000,0.024930203,0.000307308,4.045454,328.185403,81.124484,p1,0.056361000,0.100854000,0.058180000,0.098726436,0.002127439,0.100221122,0.000632753,0.054114390,0.098726436,0.057872855,0.002246575,0.002127439,0.000307268,0.055627923,0.100221122,0.000733042,0.000632753,192,192,192,192,384,384,52928,832,52928,832,1664,105856,0.024930203,0.024853105,0.100854000;0.093033000;0.104761000,0.024930203;0.028004371;0.024591333,0.000465331;0.000307308;0.000301587,"[verify] Exp ok: n=64, max_err=3.115e-11"
sigmoid,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.117650000,0.102697607,0.000322638,1.145596,364.650166,318.305987,p1,0.075053000,0.117650000,0.076557000,0.115436429,0.002213456,0.116999568,0.000650317,0.072873195,0.115436429,0.076186549,0.002179482,0.002213456,0.000370364,0.074379475,0.116999568,0.000673202,0.000650317,256,256,256,256,512,512,53504,1408,53504,1408,2816,107008,0.102694704,0.102697607,0.117650000;0.112776000;0.135106000,0.105224520;0.095538475;0.102697607,0.000287359;0.000322638;0.000363990,"[verify] Sigmoid ok: n=64, max_err=8.549e-15"
gelu,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.158979000,0.112598110,0.000400443,1.411915,397.007816,281.183866,p0,0.158979000,0.094183000,0.095478000,0.156095984,0.002882835,0.157874411,0.001104408,0.156095984,0.091380328,0.094592193,0.002882835,0.002802662,0.000886285,0.157874411,0.093066508,0.001104408,0.001116482,320,320,320,320,640,640,54592,1984,54592,1984,3968,109184,0.112594502,0.112598110,0.159685000;0.158979000;0.141303000,0.102940996;0.112598110;0.113577307,0.000477545;0.000398488;0.000400443,"[verify] Gelu ok: n=64, max_err=7.161e-12"
softmax,1,"[16,4]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.121167000,0.360730798,0.000563244,0.335893,215.123463,640.452091,p0,0.121167000,0.068553000,0.070220000,0.118991149,0.002176268,0.120544460,0.000622957,0.118991149,0.066461050,0.069842463,0.002176268,0.002092411,0.000377580,0.120544460,0.067959787,0.000622957,0.000593674,208,256,208,256,512,416,53072,1408,53072,1408,2816,106144,0.360730798,0.360642578,0.121167000;0.139021000;0.110547000,0.360730798;0.366722101;0.351671188,0.000609065;0.000563244;0.000524579,"[verify] Softmax ok: n=16, max_err=7.550e-15"
elemul,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.055818000,0.007570242,0.000382567,7.373344,145.903855,19.788016,p1,0.005986000,0.055818000,0.000276000,0.047265626,0.008552790,0.047281648,0.008536768,0.000253643,0.047265626,0.000266798,0.005732468,0.008552790,0.000009068,0.000269303,0.047281648,0.005716808,0.008536768,1,1,1,1,2,2,2066,1033,2066,1033,2066,4132,0.007488781,0.007570242,0.043781000;0.055818000;0.056094000,0.007570242;0.007676509;0.007397411,0.000382567;0.000336949;0.000418456,[verify] elemul ok: 128/128
matmul,2,"[8,16]x[16,16]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.046816000,0.009435233,0.000385522,4.961828,121.435352,24.473916,p1,0.005937000,0.046816000,0.000297000,0.038172822,0.008643202,0.038213913,0.008602111,0.000266026,0.038172822,0.000279104,0.005671111,0.008643202,0.000018114,0.000306377,0.038213913,0.005630760,0.008602111,1,1,1,1,2,2,3090,1033,3090,1033,2066,6180,0.009435233,0.009345113,0.049196000;0.046816000;0.040307000,0.008470884;0.009435233;0.009673029,0.000462144;0.000385522;0.000347919,[verify] matmul ok: 128/128
exp,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.157379000,0.025364315,0.000395373,6.204741,398.051965,64.152876,p0,0.157379000,0.116799000,0.117938000,0.153335362,0.004044071,0.156291663,0.001087770,0.153335362,0.112575763,0.117336267,0.004044071,0.004223338,0.000602171,0.156291663,0.115731370,0.001087770,0.001067731,384,384,384,384,768,768,105856,1664,105856,1664,3328,211712,0.025364315,0.025273308,0.159317000;0.155005000;0.157379000,0.025364315;0.023629631;0.027518656,0.000395373;0.000309071;0.000404812,"[verify] Exp ok: n=128, max_err=5.230e-11"
sigmoid,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.208195000,0.102739250,0.000312186,2.026441,666.894097,329.096277,p0,0.208195000,0.157601000,0.158901000,0.203796596,0.004398381,0.207407587,0.000787390,0.203796596,0.153486608,0.157997088,0.004398381,0.004114810,0.000903915,0.207407587,0.156845462,0.000787390,0.000755956,512,512,512,512,1024,1024,107008,2816,107008,2816,5632,214016,0.102616844,0.102739250,0.201447000;0.224626000;0.208195000,0.106731297;0.099518516;0.102739250,0.000312186;0.000301327;0.000335251,"[verify] Sigmoid ok: n=128, max_err=8.549e-15"
